Unidades territoriales;Indicadores de renta media;Periodo;Total
29005 Algarrobo;Renta media por persona ;2016;7.311
29005 Algarrobo;Renta media por persona ;2015;7.346
29005 Algarrobo;Renta media por hogar;2017;19.376
29005 Algarrobo;Renta media por hogar;2016;18.467
29005 Algarrobo;Renta media por hogar;2015;18.272
2900501 Algarrobo distrito 01;Renta media por persona ;2017;7.834
2900501 Algarrobo distrito 01;Renta media por persona ;2016;7.311
2900501 Algarrobo distrito 01;Renta media por persona ;2015;7.346
2900501 Algarrobo distrito 01;Renta media por hogar;2017;19.376
2900501 Algarrobo distrito 01;Renta media por hogar;2016;18.467
2900501 Algarrobo distrito 01;Renta media por hogar;2015;18.272
2900501001 Algarrobo sección 01001;Renta media por persona ;2017;7.062
2900501001 Algarrobo sección 01001;Renta media por persona ;2016;6.838
2900501001 Algarrobo sección 01001;Renta media por persona ;2015;6.720
2900501001 Algarrobo sección 01001;Renta media por hogar;2017;17.847
2900501001 Algarrobo sección 01001;Renta media por hogar;2016;17.270
2900501001 Algarrobo sección 01001;Renta media por hogar;2015;16.680
2900501002 Algarrobo sección 01002;Renta media por persona ;2017;6.820
2900501002 Algarrobo sección 01002;Renta media por persona ;2016;6.420
2900501002 Algarrobo sección 01002;Renta media por persona ;2015;6.316
2900501002 Algarrobo sección 01002;Renta media por hogar;2017;17.726
2900501002 Algarrobo sección 01002;Renta media por hogar;2016;16.558
2900501002 Algarrobo sección 01002;Renta media por hogar;2015;16.162
2900501003 Algarrobo sección 01003;Renta media por persona ;2017;8.940
2900501003 Algarrobo sección 01003;Renta media por persona ;2016;8.554
2900501003 Algarrobo sección 01003;Renta media por persona ;2015;8.771
2900501003 Algarrobo sección 01003;Renta media por hogar;2017;21.598
2900501003 Algarrobo sección 01003;Renta media por hogar;2016;21.041
2900501003 Algarrobo sección 01003;Renta media por hogar;2015;21.156
2900501004 Algarrobo sección 01004;Renta media por persona ;2017;8.364
2900501004 Algarrobo sección 01004;Renta media por persona ;2016;7.481
2900501004 Algarrobo sección 01004;Renta media por persona ;2015;7.633
2900501004 Algarrobo sección 01004;Renta media por hogar;2017;20.022
2900501004 Algarrobo sección 01004;Renta media por hogar;2016;18.926
2900501004 Algarrobo sección 01004;Renta media por hogar;2015;18.992
29006 Algatocín;Renta media por persona ;2017;7.658
29006 Algatocín;Renta media por persona ;2016;7.176
29006 Algatocín;Renta media por persona ;2015;7.271
29006 Algatocín;Renta media por hogar;2017;15.622
29006 Algatocín;Renta media por hogar;2016;14.929
29006 Algatocín;Renta media por hogar;2015;15.505
2900601 Algatocín distrito 01;Renta media por persona ;2017;7.658
2900601 Algatocín distrito 01;Renta media por persona ;2016;7.176
2900601 Algatocín distrito 01;Renta media por persona ;2015;7.271
2900601 Algatocín distrito 01;Renta media por hogar;2017;15.622
2900601 Algatocín distrito 01;Renta media por hogar;2016;14.929
2900601 Algatocín distrito 01;Renta media por hogar;2015;15.505
2900601001 Algatocín sección 01001;Renta media por persona ;2017;7.658
2900601001 Algatocín sección 01001;Renta media por persona ;2016;7.176
2900601001 Algatocín sección 01001;Renta media por persona ;2015;7.271
2900601001 Algatocín sección 01001;Renta media por hogar;2017;15.622
2900601001 Algatocín sección 01001;Renta media por hogar;2016;14.929
2900601001 Algatocín sección 01001;Renta media por hogar;2015;15.505
29007 Alhaurín de la Torre;Renta media por persona ;2017;9.866
29007 Alhaurín de la Torre;Renta media por persona ;2016;9.454
29007 Alhaurín de la Torre;Renta media por persona ;2015;9.234
29007 Alhaurín de la Torre;Renta media por hogar;2017;30.293
29007 Alhaurín de la Torre;Renta media por hogar;2016;28.875
29007 Alhaurín de la Torre;Renta media por hogar;2015;27.964
2900701 Alhaurín de la Torre distrito 01;Renta media por persona ;2017;9.866
2900701 Alhaurín de la Torre distrito 01;Renta media por persona ;2016;9.454
2900701 Alhaurín de la Torre distrito 01;Renta media por persona ;2015;9.234
2900701 Alhaurín de la Torre distrito 01;Renta media por hogar;2017;30.293
2900701 Alhaurín de la Torre distrito 01;Renta media por hogar;2016;28.875
2900701 Alhaurín de la Torre distrito 01;Renta media por hogar;2015;27.964
2900701001 Alhaurín de la Torre sección 01001;Renta media por persona ;2017;8.045
2900701001 Alhaurín de la Torre sección 01001;Renta media por persona ;2016;7.563
2900701001 Alhaurín de la Torre sección 01001;Renta media por persona ;2015;7.378
2900701001 Alhaurín de la Torre sección 01001;Renta media por hogar;2017;21.680
