Unidades territoriales;Indicadores de renta media;Periodo;Total
1400202003 Aguilar de la Frontera sección 02003;Renta media por persona ;2015;5.907
1400202003 Aguilar de la Frontera sección 02003;Renta media por hogar;2017;17.216
1400202003 Aguilar de la Frontera sección 02003;Renta media por hogar;2016;16.403
1400202003 Aguilar de la Frontera sección 02003;Renta media por hogar;2015;15.928
1400202004 Aguilar de la Frontera sección 02004;Renta media por persona ;2017;8.190
1400202004 Aguilar de la Frontera sección 02004;Renta media por persona ;2016;8.169
1400202004 Aguilar de la Frontera sección 02004;Renta media por persona ;2015;7.623
1400202004 Aguilar de la Frontera sección 02004;Renta media por hogar;2017;21.880
1400202004 Aguilar de la Frontera sección 02004;Renta media por hogar;2016;21.723
1400202004 Aguilar de la Frontera sección 02004;Renta media por hogar;2015;20.162
1400203 Aguilar de la Frontera distrito 03;Renta media por persona ;2017;7.648
1400203 Aguilar de la Frontera distrito 03;Renta media por persona ;2016;7.416
1400203 Aguilar de la Frontera distrito 03;Renta media por persona ;2015;7.085
1400203 Aguilar de la Frontera distrito 03;Renta media por hogar;2017;19.706
1400203 Aguilar de la Frontera distrito 03;Renta media por hogar;2016;19.174
1400203 Aguilar de la Frontera distrito 03;Renta media por hogar;2015;18.529
1400203001 Aguilar de la Frontera sección 03001;Renta media por persona ;2017;7.428
1400203001 Aguilar de la Frontera sección 03001;Renta media por persona ;2016;6.885
1400203001 Aguilar de la Frontera sección 03001;Renta media por persona ;2015;6.468
1400203001 Aguilar de la Frontera sección 03001;Renta media por hogar;2017;18.247
1400203001 Aguilar de la Frontera sección 03001;Renta media por hogar;2016;18.214
1400203001 Aguilar de la Frontera sección 03001;Renta media por hogar;2015;17.279
1400203002 Aguilar de la Frontera sección 03002;Renta media por persona ;2017;8.507
1400203002 Aguilar de la Frontera sección 03002;Renta media por persona ;2016;8.286
1400203002 Aguilar de la Frontera sección 03002;Renta media por persona ;2015;7.926
1400203002 Aguilar de la Frontera sección 03002;Renta media por hogar;2017;21.465
1400203002 Aguilar de la Frontera sección 03002;Renta media por hogar;2016;20.871
1400203002 Aguilar de la Frontera sección 03002;Renta media por hogar;2015;20.274
1400203003 Aguilar de la Frontera sección 03003;Renta media por persona ;2017;7.341
1400203003 Aguilar de la Frontera sección 03003;Renta media por persona ;2016;7.084
1400203003 Aguilar de la Frontera sección 03003;Renta media por persona ;2015;6.915
1400203003 Aguilar de la Frontera sección 03003;Renta media por hogar;2017;18.682
1400203003 Aguilar de la Frontera sección 03003;Renta media por hogar;2016;18.304
1400203003 Aguilar de la Frontera sección 03003;Renta media por hogar;2015;18.035
14003 Alcaracejos;Renta media por persona ;2017;9.508
14003 Alcaracejos;Renta media por persona ;2016;8.324
14003 Alcaracejos;Renta media por persona ;2015;8.166
14003 Alcaracejos;Renta media por hogar;2017;22.523
14003 Alcaracejos;Renta media por hogar;2016;19.650
14003 Alcaracejos;Renta media por hogar;2015;19.597
1400301 Alcaracejos distrito 01;Renta media por persona ;2017;9.508
1400301 Alcaracejos distrito 01;Renta media por persona ;2016;8.324
1400301 Alcaracejos distrito 01;Renta media por persona ;2015;8.166
1400301 Alcaracejos distrito 01;Renta media por hogar;2017;22.523
1400301 Alcaracejos distrito 01;Renta media por hogar;2016;19.650
1400301 Alcaracejos distrito 01;Renta media por hogar;2015;19.597
1400301001 Alcaracejos sección 01001;Renta media por persona ;2017;9.508
1400301001 Alcaracejos sección 01001;Renta media por persona ;2016;8.324
1400301001 Alcaracejos sección 01001;Renta media por persona ;2015;8.166
1400301001 Alcaracejos sección 01001;Renta media por hogar;2017;22.523
1400301001 Alcaracejos sección 01001;Renta media por hogar;2016;19.650
1400301001 Alcaracejos sección 01001;Renta media por hogar;2015;19.597
14004 Almedinilla;Renta media por persona ;2017;7.960
14004 Almedinilla;Renta media por persona ;2016;7.539
14004 Almedinilla;Renta media por persona ;2015;7.476
14004 Almedinilla;Renta media por hogar;2017;19.106
14004 Almedinilla;Renta media por hogar;2016;18.436
14004 Almedinilla;Renta media por hogar;2015;18.232
1400401 Almedinilla distrito 01;Renta media por persona ;2017;8.016
1400401 Almedinilla distrito 01;Renta media por persona ;2016;7.717
1400401 Almedinilla distrito 01;Renta media por persona ;2015;7.657
1400401 Almedinilla distrito 01;Renta media por hogar;2017;19.867
1400401 Almedinilla distrito 01;Renta media por hogar;2016;19.514
1400401 Almedinilla distrito 01;Renta media por hogar;2015;19.344
1400401001 Almedinilla sección 01001;Renta media por persona ;2017;8.016
1400401001 Almedinilla sección 01001;Renta media por persona ;2016;7.717
1400401001 Almedinilla sección 01001;Renta media por persona ;2015;7.657
1400401001 Almedinilla sección 01001;Renta media por hogar;2017;19.867
1400401001 Almedinilla sección 01001;Renta media por hogar;2016;19.514
1400401001 Almedinilla sección 01001;Renta media por hogar;2015;19.344
1400402 Almedinilla distrito 02;Renta media por persona ;2017;7.863
1400402 Almedinilla distrito 02;Renta media por persona ;2016;7.242
1400402 Almedinilla distrito 02;Renta media por persona ;2015;7.167
1400402 Almedinilla distrito 02;Renta media por hogar;2017;17.912
1400402 Almedinilla distrito 02;Renta media por hogar;2016;16.782
1400402 Almedinilla distrito 02;Renta media por hogar;2015;16.504
1400402001 Almedinilla sección 02001;Renta media por persona ;2017;7.863
1400402001 Almedinilla sección 02001;Renta media por persona ;2016;7.242
1400402001 Almedinilla sección 02001;Renta media por persona ;2015;7.167
1400402001 Almedinilla sección 02001;Renta media por hogar;2017;17.912
1400402001 Almedinilla sección 02001;Renta media por hogar;2016;16.782
1400402001 Almedinilla sección 02001;Renta media por hogar;2015;16.504
14005 Almodóvar del Río;Renta media por persona ;2017;7.372
14005 Almodóvar del Río;Renta media por persona ;2016;7.025
14005 Almodóvar del Río;Renta media por persona ;2015;6.873
14005 Almodóvar del Río;Renta media por hogar;2017;19.518
14005 Almodóvar del Río;Renta media por hogar;2016;18.724
14005 Almodóvar del Río;Renta media por hogar;2015;18.485
1400501 Almodóvar del Río distrito 01;Renta media por persona ;2017;7.372
1400501 Almodóvar del Río distrito 01;Renta media por persona ;2016;7.025
1400501 Almodóvar del Río distrito 01;Renta media por persona ;2015;6.873
1400501 Almodóvar del Río distrito 01;Renta media por hogar;2017;19.518
1400501 Almodóvar del Río distrito 01;Renta media por hogar;2016;18.724
1400501 Almodóvar del Río distrito 01;Renta media por hogar;2015;18.485
1400501001 Almodóvar del Río sección 01001;Renta media por persona ;2017;7.986
1400501001 Almodóvar del Río sección 01001;Renta media por persona ;2016;7.430
1400501001 Almodóvar del Río sección 01001;Renta media por persona ;2015;7.252
1400501001 Almodóvar del Río sección 01001;Renta media por hogar;2017;20.930
1400501001 Almodóvar del Río sección 01001;Renta media por hogar;2016;19.768
1400501001 Almodóvar del Río sección 01001;Renta media por hogar;2015;19.131
1400501002 Almodóvar del Río sección 01002;Renta media por persona ;2017;7.927
1400501002 Almodóvar del Río sección 01002;Renta media por persona ;2016;7.644
1400501002 Almodóvar del Río sección 01002;Renta media por persona ;2015;7.383
1400501002 Almodóvar del Río sección 01002;Renta media por hogar;2017;19.867
1400501002 Almodóvar del Río sección 01002;Renta media por hogar;2016;19.318
1400501002 Almodóvar del Río sección 01002;Renta media por hogar;2015;18.684
1400501003 Almodóvar del Río sección 01003;Renta media por persona ;2017;7.646
1400501003 Almodóvar del Río sección 01003;Renta media por persona ;2016;7.183
1400501003 Almodóvar del Río sección 01003;Renta media por persona ;2015;7.094
1400501003 Almodóvar del Río sección 01003;Renta media por hogar;2017;19.859
1400501003 Almodóvar del Río sección 01003;Renta media por hogar;2016;18.676
1400501003 Almodóvar del Río sección 01003;Renta media por hogar;2015;18.347
1400501004 Almodóvar del Río sección 01004;Renta media por persona ;2017;7.065
1400501004 Almodóvar del Río sección 01004;Renta media por persona ;2016;6.601
1400501004 Almodóvar del Río sección 01004;Renta media por persona ;2015;6.628
1400501004 Almodóvar del Río sección 01004;Renta media por hogar;2017;17.384
1400501004 Almodóvar del Río sección 01004;Renta media por hogar;2016;16.365
1400501004 Almodóvar del Río sección 01004;Renta media por hogar;2015;16.658
1400501005 Almodóvar del Río sección 01005;Renta media por persona ;2017;6.857
1400501005 Almodóvar del Río sección 01005;Renta media por persona ;2016;6.692
1400501005 Almodóvar del Río sección 01005;Renta media por persona ;2015;6.528
1400501005 Almodóvar del Río sección 01005;Renta media por hogar;2017;17.968
1400501005 Almodóvar del Río sección 01005;Renta media por hogar;2016;17.642
1400501005 Almodóvar del Río sección 01005;Renta media por hogar;2015;17.357
1400501006 Almodóvar del Río sección 01006;Renta media por persona ;2017;6.753
1400501006 Almodóvar del Río sección 01006;Renta media por persona ;2016;6.314
1400501006 Almodóvar del Río sección 01006;Renta media por persona ;2015;6.187
1400501006 Almodóvar del Río sección 01006;Renta media por hogar;2017;18.677
1400501006 Almodóvar del Río sección 01006;Renta media por hogar;2016;17.498
1400501006 Almodóvar del Río sección 01006;Renta media por hogar;2015;18.034
1400501007 Almodóvar del Río sección 01007;Renta media por persona ;2017;7.557
1400501007 Almodóvar del Río sección 01007;Renta media por persona ;2016;7.232
1400501007 Almodóvar del Río sección 01007;Renta media por persona ;2015;7.047
1400501007 Almodóvar del Río sección 01007;Renta media por hogar;2017;21.939
1400501007 Almodóvar del Río sección 01007;Renta media por hogar;2016;21.147
1400501007 Almodóvar del Río sección 01007;Renta media por hogar;2015;20.804
14006 Añora;Renta media por persona ;2017;9.900
14006 Añora;Renta media por persona ;2016;9.567
14006 Añora;Renta media por persona ;2015;8.968
14006 Añora;Renta media por hogar;2017;24.163
14006 Añora;Renta media por hogar;2016;23.772
14006 Añora;Renta media por hogar;2015;22.576
1400601 Añora distrito 01;Renta media por persona ;2017;9.900
1400601 Añora distrito 01;Renta media por persona ;2016;9.567
1400601 Añora distrito 01;Renta media por persona ;2015;8.968
1400601 Añora distrito 01;Renta media por hogar;2017;24.163
1400601 Añora distrito 01;Renta media por hogar;2016;23.772
1400601 Añora distrito 01;Renta media por hogar;2015;22.576
1400601001 Añora sección 01001;Renta media por persona ;2017;10.096
1400601001 Añora sección 01001;Renta media por persona ;2016;9.872
1400601001 Añora sección 01001;Renta media por persona ;2015;9.350
1400601001 Añora sección 01001;Renta media por hogar;2017;24.395
1400601001 Añora sección 01001;Renta media por hogar;2016;24.024
1400601001 Añora sección 01001;Renta media por hogar;2015;23.158
1400601002 Añora sección 01002;Renta media por persona ;2017;9.712
1400601002 Añora sección 01002;Renta media por persona ;2016;9.276
1400601002 Añora sección 01002;Renta media por persona ;2015;8.603
1400601002 Añora sección 01002;Renta media por hogar;2017;23.935
1400601002 Añora sección 01002;Renta media por hogar;2016;23.520
1400601002 Añora sección 01002;Renta media por hogar;2015;22.000
14007 Baena;Renta media por persona ;2017;7.980
14007 Baena;Renta media por persona ;2016;7.352
14007 Baena;Renta media por persona ;2015;7.090
14007 Baena;Renta media por hogar;2017;20.520
14007 Baena;Renta media por hogar;2016;19.354
14007 Baena;Renta media por hogar;2015;18.737
1400701 Baena distrito 01;Renta media por persona ;2017;8.140
