Unidades territoriales;Indicadores de renta media;Periodo;Total
2300203001 Alcalá la Real sección 03001;Renta media por hogar;2017;20.681
2300203001 Alcalá la Real sección 03001;Renta media por hogar;2016;20.349
2300203001 Alcalá la Real sección 03001;Renta media por hogar;2015;20.079
2300203002 Alcalá la Real sección 03002;Renta media por persona ;2017;10.558
2300203002 Alcalá la Real sección 03002;Renta media por persona ;2016;10.127
2300203002 Alcalá la Real sección 03002;Renta media por persona ;2015;9.874
2300203002 Alcalá la Real sección 03002;Renta media por hogar;2017;26.663
2300203002 Alcalá la Real sección 03002;Renta media por hogar;2016;26.265
2300203002 Alcalá la Real sección 03002;Renta media por hogar;2015;25.658
2300203003 Alcalá la Real sección 03003;Renta media por persona ;2017;7.509
2300203003 Alcalá la Real sección 03003;Renta media por persona ;2016;6.841
2300203003 Alcalá la Real sección 03003;Renta media por persona ;2015;6.815
2300203003 Alcalá la Real sección 03003;Renta media por hogar;2017;17.258
2300203003 Alcalá la Real sección 03003;Renta media por hogar;2016;15.665
2300203003 Alcalá la Real sección 03003;Renta media por hogar;2015;15.687
2300204 Alcalá la Real distrito 04;Renta media por persona ;2017;10.800
2300204 Alcalá la Real distrito 04;Renta media por persona ;2016;10.278
2300204 Alcalá la Real distrito 04;Renta media por persona ;2015;9.845
2300204 Alcalá la Real distrito 04;Renta media por hogar;2017;28.261
2300204 Alcalá la Real distrito 04;Renta media por hogar;2016;27.400
2300204 Alcalá la Real distrito 04;Renta media por hogar;2015;26.336
2300204001 Alcalá la Real sección 04001;Renta media por persona ;2017;10.260
2300204001 Alcalá la Real sección 04001;Renta media por persona ;2016;9.909
2300204001 Alcalá la Real sección 04001;Renta media por persona ;2015;9.575
2300204001 Alcalá la Real sección 04001;Renta media por hogar;2017;26.389
2300204001 Alcalá la Real sección 04001;Renta media por hogar;2016;25.945
2300204001 Alcalá la Real sección 04001;Renta media por hogar;2015;25.238
2300204002 Alcalá la Real sección 04002;Renta media por persona ;2017;12.030
2300204002 Alcalá la Real sección 04002;Renta media por persona ;2016;11.459
2300204002 Alcalá la Real sección 04002;Renta media por persona ;2015;11.066
2300204002 Alcalá la Real sección 04002;Renta media por hogar;2017;31.413
2300204002 Alcalá la Real sección 04002;Renta media por hogar;2016;30.159
2300204002 Alcalá la Real sección 04002;Renta media por hogar;2015;29.067
2300204003 Alcalá la Real sección 04003;Renta media por persona ;2017;9.004
2300204003 Alcalá la Real sección 04003;Renta media por persona ;2016;8.472
2300204003 Alcalá la Real sección 04003;Renta media por persona ;2015;8.069
2300204003 Alcalá la Real sección 04003;Renta media por hogar;2017;22.296
2300204003 Alcalá la Real sección 04003;Renta media por hogar;2016;21.545
2300204003 Alcalá la Real sección 04003;Renta media por hogar;2015;20.782
2300204005 Alcalá la Real sección 04005;Renta media por persona ;2017;10.550
2300204005 Alcalá la Real sección 04005;Renta media por persona ;2016;9.972
2300204005 Alcalá la Real sección 04005;Renta media por persona ;2015;9.350
2300204005 Alcalá la Real sección 04005;Renta media por hogar;2017;29.645
2300204005 Alcalá la Real sección 04005;Renta media por hogar;2016;29.005
2300204005 Alcalá la Real sección 04005;Renta media por hogar;2015;27.253
2300205 Alcalá la Real distrito 05;Renta media por persona ;2017;8.356
2300205 Alcalá la Real distrito 05;Renta media por persona ;2016;7.902
2300205 Alcalá la Real distrito 05;Renta media por persona ;2015;7.680
2300205 Alcalá la Real distrito 05;Renta media por hogar;2017;20.978
2300205 Alcalá la Real distrito 05;Renta media por hogar;2016;19.960
2300205 Alcalá la Real distrito 05;Renta media por hogar;2015;19.438
2300205001 Alcalá la Real sección 05001;Renta media por persona ;2017;8.121
2300205001 Alcalá la Real sección 05001;Renta media por persona ;2016;7.682
2300205001 Alcalá la Real sección 05001;Renta media por persona ;2015;7.569
2300205001 Alcalá la Real sección 05001;Renta media por hogar;2017;20.964
2300205001 Alcalá la Real sección 05001;Renta media por hogar;2016;20.065
2300205001 Alcalá la Real sección 05001;Renta media por hogar;2015;20.033
2300205002 Alcalá la Real sección 05002;Renta media por persona ;2017;8.866
2300205002 Alcalá la Real sección 05002;Renta media por persona ;2016;8.604
2300205002 Alcalá la Real sección 05002;Renta media por persona ;2015;8.297
2300205002 Alcalá la Real sección 05002;Renta media por hogar;2017;22.700
2300205002 Alcalá la Real sección 05002;Renta media por hogar;2016;22.106
2300205002 Alcalá la Real sección 05002;Renta media por hogar;2015;21.301
2300205003 Alcalá la Real sección 05003;Renta media por persona ;2017;7.668
2300205003 Alcalá la Real sección 05003;Renta media por persona ;2016;7.255
2300205003 Alcalá la Real sección 05003;Renta media por persona ;2015;6.986
