Unidades territoriales;Indicadores de renta media;Periodo;Total
2100202003 Aljaraque sección 02003;Renta media por hogar;2016;49.175
2100202003 Aljaraque sección 02003;Renta media por hogar;2015;50.596
2100202004 Aljaraque sección 02004;Renta media por persona ;2017;17.171
2100202004 Aljaraque sección 02004;Renta media por persona ;2016;17.326
2100202004 Aljaraque sección 02004;Renta media por persona ;2015;16.935
2100202004 Aljaraque sección 02004;Renta media por hogar;2017;56.110
2100202004 Aljaraque sección 02004;Renta media por hogar;2016;57.005
2100202004 Aljaraque sección 02004;Renta media por hogar;2015;54.968
2100202005 Aljaraque sección 02005;Renta media por persona ;2017;9.755
2100202005 Aljaraque sección 02005;Renta media por persona ;2016;9.333
2100202005 Aljaraque sección 02005;Renta media por persona ;2015;9.502
2100202005 Aljaraque sección 02005;Renta media por hogar;2017;27.037
2100202005 Aljaraque sección 02005;Renta media por hogar;2016;25.809
2100202005 Aljaraque sección 02005;Renta media por hogar;2015;25.870
21003 Almendro, El;Renta media por persona ;2017;8.653
21003 Almendro, El;Renta media por persona ;2016;8.300
21003 Almendro, El;Renta media por persona ;2015;7.906
21003 Almendro, El;Renta media por hogar;2017;19.610
21003 Almendro, El;Renta media por hogar;2016;19.215
21003 Almendro, El;Renta media por hogar;2015;18.344
2100301 Almendro, El distrito 01;Renta media por persona ;2017;8.653
2100301 Almendro, El distrito 01;Renta media por persona ;2016;8.300
2100301 Almendro, El distrito 01;Renta media por persona ;2015;7.906
2100301 Almendro, El distrito 01;Renta media por hogar;2017;19.610
2100301 Almendro, El distrito 01;Renta media por hogar;2016;19.215
2100301 Almendro, El distrito 01;Renta media por hogar;2015;18.344
2100301001 Almendro, El sección 01001;Renta media por persona ;2017;8.653
2100301001 Almendro, El sección 01001;Renta media por persona ;2016;8.300
2100301001 Almendro, El sección 01001;Renta media por persona ;2015;7.906
2100301001 Almendro, El sección 01001;Renta media por hogar;2017;19.610
2100301001 Almendro, El sección 01001;Renta media por hogar;2016;19.215
2100301001 Almendro, El sección 01001;Renta media por hogar;2015;18.344
21004 Almonaster la Real;Renta media por persona ;2017;9.826
21004 Almonaster la Real;Renta media por persona ;2016;9.373
21004 Almonaster la Real;Renta media por persona ;2015;8.769
