Municipios;Sexo;Periodo;Total
21023 Cerro de Andévalo, El;Total;2005;""
21023 Cerro de Andévalo, El;Total;2004;""
21023 Cerro de Andévalo, El;Total;2003;""
21023 Cerro de Andévalo, El;Total;2002;""
21023 Cerro de Andévalo, El;Total;2001;""
21023 Cerro de Andévalo, El;Total;2000;""
21023 Cerro de Andévalo, El;Total;1999;""
21023 Cerro de Andévalo, El;Total;1998;""
21023 Cerro de Andévalo, El;Total;1997;""
21023 Cerro de Andévalo, El;Total;1996;""
21023 Cerro de Andévalo, El;Hombres;2019;1.167
21023 Cerro de Andévalo, El;Hombres;2018;1.187
21023 Cerro de Andévalo, El;Hombres;2017;1.206
21023 Cerro de Andévalo, El;Hombres;2016;1.228
21023 Cerro de Andévalo, El;Hombres;2015;1.253
21023 Cerro de Andévalo, El;Hombres;2014;1.224
21023 Cerro de Andévalo, El;Hombres;2013;1.175
21023 Cerro de Andévalo, El;Hombres;2012;1.185
21023 Cerro de Andévalo, El;Hombres;2011;1.189
21023 Cerro de Andévalo, El;Hombres;2010;1.203
21023 Cerro de Andévalo, El;Hombres;2009;1.197
21023 Cerro de Andévalo, El;Hombres;2008;1.214
21023 Cerro de Andévalo, El;Hombres;2007;1.220
21023 Cerro de Andévalo, El;Hombres;2006;1.247
21023 Cerro de Andévalo, El;Hombres;2005;1.270
21023 Cerro de Andévalo, El;Hombres;2004;1.299
21023 Cerro de Andévalo, El;Hombres;2003;1.314
21023 Cerro de Andévalo, El;Hombres;2002;1.319
21023 Cerro de Andévalo, El;Hombres;2001;1.320
21023 Cerro de Andévalo, El;Hombres;2000;1.337
21023 Cerro de Andévalo, El;Hombres;1999;1.339
21023 Cerro de Andévalo, El;Hombres;1998;1.344
21023 Cerro de Andévalo, El;Hombres;1997;""
21023 Cerro de Andévalo, El;Hombres;1996;1.365
21023 Cerro de Andévalo, El;Mujeres;2019;1.197
21023 Cerro de Andévalo, El;Mujeres;2018;1.202
21023 Cerro de Andévalo, El;Mujeres;2017;1.203
21023 Cerro de Andévalo, El;Mujeres;2016;1.226
21023 Cerro de Andévalo, El;Mujeres;2015;1.242
21023 Cerro de Andévalo, El;Mujeres;2014;1.236
21023 Cerro de Andévalo, El;Mujeres;2013;1.225
21023 Cerro de Andévalo, El;Mujeres;2012;1.232
21023 Cerro de Andévalo, El;Mujeres;2011;1.250
21023 Cerro de Andévalo, El;Mujeres;2010;1.280
21023 Cerro de Andévalo, El;Mujeres;2009;1.282
21023 Cerro de Andévalo, El;Mujeres;2008;1.289
21023 Cerro de Andévalo, El;Mujeres;2007;1.302
21023 Cerro de Andévalo, El;Mujeres;2006;1.334
21023 Cerro de Andévalo, El;Mujeres;2005;1.366
21023 Cerro de Andévalo, El;Mujeres;2004;1.369
21023 Cerro de Andévalo, El;Mujeres;2003;1.386
21023 Cerro de Andévalo, El;Mujeres;2002;1.387
21023 Cerro de Andévalo, El;Mujeres;2001;1.399
21023 Cerro de Andévalo, El;Mujeres;2000;1.404
21023 Cerro de Andévalo, El;Mujeres;1999;1.421
21023 Cerro de Andévalo, El;Mujeres;1998;1.418
21023 Cerro de Andévalo, El;Mujeres;1997;""
21023 Cerro de Andévalo, El;Mujeres;1996;1.420
21030 Chucena;Total;2019;2.222
21030 Chucena;Total;2018;""
21030 Chucena;Total;2017;""
21030 Chucena;Total;2016;""
21030 Chucena;Total;2015;""
21030 Chucena;Total;2014;""
21030 Chucena;Total;2013;""
21030 Chucena;Total;2012;""
21030 Chucena;Total;2011;""
21030 Chucena;Total;2010;""
21030 Chucena;Total;2009;""
21030 Chucena;Total;2008;""
21030 Chucena;Total;2007;""
21030 Chucena;Total;2006;""
21030 Chucena;Total;2005;""
21030 Chucena;Total;2004;""
21030 Chucena;Total;2003;""
21030 Chucena;Total;2002;""
21030 Chucena;Total;2001;""
21030 Chucena;Total;2000;""
21030 Chucena;Total;1999;""
21030 Chucena;Total;1998;""
21030 Chucena;Total;1997;""
21030 Chucena;Total;1996;""
21030 Chucena;Hombres;2019;1.131
21030 Chucena;Hombres;2018;1.136
21030 Chucena;Hombres;2017;1.146
21030 Chucena;Hombres;2016;1.086
21030 Chucena;Hombres;2015;1.076
21030 Chucena;Hombres;2014;1.033
21030 Chucena;Hombres;2013;1.053
21030 Chucena;Hombres;2012;1.108
21030 Chucena;Hombres;2011;1.087
21030 Chucena;Hombres;2010;1.075
21030 Chucena;Hombres;2009;1.066
21030 Chucena;Hombres;2008;1.057
21030 Chucena;Hombres;2007;1.020
21030 Chucena;Hombres;2006;1.031
21030 Chucena;Hombres;2005;1.028
21030 Chucena;Hombres;2004;1.004
21030 Chucena;Hombres;2003;1.017
21030 Chucena;Hombres;2002;1.002
21030 Chucena;Hombres;2001;974
21030 Chucena;Hombres;2000;989
21030 Chucena;Hombres;1999;1.007
21030 Chucena;Hombres;1998;984
21030 Chucena;Hombres;1997;""
21030 Chucena;Hombres;1996;978
21030 Chucena;Mujeres;2019;1.091
21030 Chucena;Mujeres;2018;1.096
21030 Chucena;Mujeres;2017;1.110
21030 Chucena;Mujeres;2016;1.056
21030 Chucena;Mujeres;2015;1.046
21030 Chucena;Mujeres;2014;987
21030 Chucena;Mujeres;2013;1.004
21030 Chucena;Mujeres;2012;1.068
21030 Chucena;Mujeres;2011;1.061
21030 Chucena;Mujeres;2010;1.055
21030 Chucena;Mujeres;2009;1.058
21030 Chucena;Mujeres;2008;1.040
21030 Chucena;Mujeres;2007;1.023
21030 Chucena;Mujeres;2006;1.023
21030 Chucena;Mujeres;2005;1.016
21030 Chucena;Mujeres;2004;992
21030 Chucena;Mujeres;2003;988
21030 Chucena;Mujeres;2002;965
21030 Chucena;Mujeres;2001;957
21030 Chucena;Mujeres;2000;975
21030 Chucena;Mujeres;1999;973
21030 Chucena;Mujeres;1998;959
21030 Chucena;Mujeres;1997;""
21030 Chucena;Mujeres;1996;952
21024 Corteconcepción;Total;2019;548
21024 Corteconcepción;Total;2018;""
21024 Corteconcepción;Total;2017;""
21024 Corteconcepción;Total;2016;""
21024 Corteconcepción;Total;2015;""
21024 Corteconcepción;Total;2014;""
21024 Corteconcepción;Total;2013;""
21024 Corteconcepción;Total;2012;""
21024 Corteconcepción;Total;2011;""
21024 Corteconcepción;Total;2010;""
21024 Corteconcepción;Total;2009;""
21024 Corteconcepción;Total;2008;""
21024 Corteconcepción;Total;2007;""
21024 Corteconcepción;Total;2006;""
21024 Corteconcepción;Total;2005;""
21024 Corteconcepción;Total;2004;""
21024 Corteconcepción;Total;2003;""
21024 Corteconcepción;Total;2002;""
21024 Corteconcepción;Total;2001;""
21024 Corteconcepción;Total;2000;""
21024 Corteconcepción;Total;1999;""
21024 Corteconcepción;Total;1998;""
21024 Corteconcepción;Total;1997;""
21024 Corteconcepción;Total;1996;""
21024 Corteconcepción;Hombres;2019;287
21024 Corteconcepción;Hombres;2018;274
21024 Corteconcepción;Hombres;2017;272
21024 Corteconcepción;Hombres;2016;267
21024 Corteconcepción;Hombres;2015;275
21024 Corteconcepción;Hombres;2014;271
21024 Corteconcepción;Hombres;2013;271
21024 Corteconcepción;Hombres;2012;295
21024 Corteconcepción;Hombres;2011;307
21024 Corteconcepción;Hombres;2010;308
21024 Corteconcepción;Hombres;2009;312
21024 Corteconcepción;Hombres;2008;316
21024 Corteconcepción;Hombres;2007;307
21024 Corteconcepción;Hombres;2006;309
21024 Corteconcepción;Hombres;2005;312
21024 Corteconcepción;Hombres;2004;320
21024 Corteconcepción;Hombres;2003;318
21024 Corteconcepción;Hombres;2002;339
21024 Corteconcepción;Hombres;2001;339
21024 Corteconcepción;Hombres;2000;339
21024 Corteconcepción;Hombres;1999;352
21024 Corteconcepción;Hombres;1998;341
21024 Corteconcepción;Hombres;1997;""
21024 Corteconcepción;Hombres;1996;356
21024 Corteconcepción;Mujeres;2019;261
21024 Corteconcepción;Mujeres;2018;269
21024 Corteconcepción;Mujeres;2017;276
21024 Corteconcepción;Mujeres;2016;280
21024 Corteconcepción;Mujeres;2015;277
21024 Corteconcepción;Mujeres;2014;285
21024 Corteconcepción;Mujeres;2013;279
21024 Corteconcepción;Mujeres;2012;302
21024 Corteconcepción;Mujeres;2011;301
21024 Corteconcepción;Mujeres;2010;299
21024 Corteconcepción;Mujeres;2009;295
21024 Corteconcepción;Mujeres;2008;299
21024 Corteconcepción;Mujeres;2007;308
21024 Corteconcepción;Mujeres;2006;306
21024 Corteconcepción;Mujeres;2005;308
21024 Corteconcepción;Mujeres;2004;313
21024 Corteconcepción;Mujeres;2003;314
21024 Corteconcepción;Mujeres;2002;332
21024 Corteconcepción;Mujeres;2001;339
21024 Corteconcepción;Mujeres;2000;333
21024 Corteconcepción;Mujeres;1999;351
21024 Corteconcepción;Mujeres;1998;339
21024 Corteconcepción;Mujeres;1997;""
21024 Corteconcepción;Mujeres;1996;333
21025 Cortegana;Total;2019;4.666
21025 Cortegana;Total;2018;""
21025 Cortegana;Total;2017;""
21025 Cortegana;Total;2016;""
21025 Cortegana;Total;2015;""
21025 Cortegana;Total;2014;""
21025 Cortegana;Total;2013;""
21025 Cortegana;Total;2012;""
21025 Cortegana;Total;2011;""
21025 Cortegana;Total;2010;""
21025 Cortegana;Total;2009;""
21025 Cortegana;Total;2008;""
21025 Cortegana;Total;2007;""
21025 Cortegana;Total;2006;""
21025 Cortegana;Total;2005;""
21025 Cortegana;Total;2004;""
21025 Cortegana;Total;2003;""
21025 Cortegana;Total;2002;""
21025 Cortegana;Total;2001;""
21025 Cortegana;Total;2000;""
21025 Cortegana;Total;1999;""
21025 Cortegana;Total;1998;""
21025 Cortegana;Total;1997;""
21025 Cortegana;Total;1996;""
21025 Cortegana;Hombres;2019;2.368
21025 Cortegana;Hombres;2018;2.406
21025 Cortegana;Hombres;2017;2.440
21025 Cortegana;Hombres;2016;2.455
21025 Cortegana;Hombres;2015;2.514
21025 Cortegana;Hombres;2014;2.541
21025 Cortegana;Hombres;2013;2.465
21025 Cortegana;Hombres;2012;2.477
21025 Cortegana;Hombres;2011;2.460
21025 Cortegana;Hombres;2010;2.487
21025 Cortegana;Hombres;2009;2.489
21025 Cortegana;Hombres;2008;2.508
21025 Cortegana;Hombres;2007;2.453
21025 Cortegana;Hombres;2006;2.489
21025 Cortegana;Hombres;2005;2.459
21025 Cortegana;Hombres;2004;2.474
21025 Cortegana;Hombres;2003;2.490
21025 Cortegana;Hombres;2002;2.487
21025 Cortegana;Hombres;2001;2.523
21025 Cortegana;Hombres;2000;2.519
21025 Cortegana;Hombres;1999;2.554
21025 Cortegana;Hombres;1998;2.554
21025 Cortegana;Hombres;1997;""
21025 Cortegana;Hombres;1996;2.588
21025 Cortegana;Mujeres;2019;2.298
21025 Cortegana;Mujeres;2018;2.329
21025 Cortegana;Mujeres;2017;2.372
21025 Cortegana;Mujeres;2016;2.398
21025 Cortegana;Mujeres;2015;2.417
21025 Cortegana;Mujeres;2014;2.484
21025 Cortegana;Mujeres;2013;2.433
21025 Cortegana;Mujeres;2012;2.437
21025 Cortegana;Mujeres;2011;2.436
21025 Cortegana;Mujeres;2010;2.452
21025 Cortegana;Mujeres;2009;2.476
21025 Cortegana;Mujeres;2008;2.518
21025 Cortegana;Mujeres;2007;2.524
21025 Cortegana;Mujeres;2006;2.550
21025 Cortegana;Mujeres;2005;2.493
21025 Cortegana;Mujeres;2004;2.514
21025 Cortegana;Mujeres;2003;2.515
21025 Cortegana;Mujeres;2002;2.526
21025 Cortegana;Mujeres;2001;2.552
21025 Cortegana;Mujeres;2000;2.565
21025 Cortegana;Mujeres;1999;2.578
21025 Cortegana;Mujeres;1998;2.583
21025 Cortegana;Mujeres;1997;""
21025 Cortegana;Mujeres;1996;2.618
21026 Cortelazor;Total;2019;299
21026 Cortelazor;Total;2018;""
21026 Cortelazor;Total;2017;""
21026 Cortelazor;Total;2016;""
21026 Cortelazor;Total;2015;""
21026 Cortelazor;Total;2014;""
21026 Cortelazor;Total;2013;""
21026 Cortelazor;Total;2012;""
21026 Cortelazor;Total;2011;""
21026 Cortelazor;Total;2010;""
21026 Cortelazor;Total;2009;""
21026 Cortelazor;Total;2008;""
21026 Cortelazor;Total;2007;""
21026 Cortelazor;Total;2006;""
21026 Cortelazor;Total;2005;""
21026 Cortelazor;Total;2004;""
21026 Cortelazor;Total;2003;""
21026 Cortelazor;Total;2002;""
21026 Cortelazor;Total;2001;""
21026 Cortelazor;Total;2000;""
21026 Cortelazor;Total;1999;""
21026 Cortelazor;Total;1998;""
21026 Cortelazor;Total;1997;""
21026 Cortelazor;Total;1996;""
21026 Cortelazor;Hombres;2019;140
21026 Cortelazor;Hombres;2018;147
21026 Cortelazor;Hombres;2017;150
21026 Cortelazor;Hombres;2016;151
21026 Cortelazor;Hombres;2015;143
21026 Cortelazor;Hombres;2014;146
21026 Cortelazor;Hombres;2013;142
21026 Cortelazor;Hombres;2012;144
21026 Cortelazor;Hombres;2011;149
21026 Cortelazor;Hombres;2010;152
21026 Cortelazor;Hombres;2009;159
21026 Cortelazor;Hombres;2008;157
21026 Cortelazor;Hombres;2007;152
21026 Cortelazor;Hombres;2006;133
21026 Cortelazor;Hombres;2005;142
21026 Cortelazor;Hombres;2004;149
21026 Cortelazor;Hombres;2003;156
21026 Cortelazor;Hombres;2002;152
21026 Cortelazor;Hombres;2001;156
21026 Cortelazor;Hombres;2000;158
21026 Cortelazor;Hombres;1999;164
21026 Cortelazor;Hombres;1998;164
21026 Cortelazor;Hombres;1997;""
21026 Cortelazor;Hombres;1996;170
21026 Cortelazor;Mujeres;2019;159
21026 Cortelazor;Mujeres;2018;158
21026 Cortelazor;Mujeres;2017;154
21026 Cortelazor;Mujeres;2016;151
21026 Cortelazor;Mujeres;2015;140
21026 Cortelazor;Mujeres;2014;143
21026 Cortelazor;Mujeres;2013;135
21026 Cortelazor;Mujeres;2012;146
21026 Cortelazor;Mujeres;2011;152
21026 Cortelazor;Mujeres;2010;148
21026 Cortelazor;Mujeres;2009;154
21026 Cortelazor;Mujeres;2008;154
21026 Cortelazor;Mujeres;2007;143
21026 Cortelazor;Mujeres;2006;137
21026 Cortelazor;Mujeres;2005;147
21026 Cortelazor;Mujeres;2004;152
21026 Cortelazor;Mujeres;2003;158
21026 Cortelazor;Mujeres;2002;150
21026 Cortelazor;Mujeres;2001;156
21026 Cortelazor;Mujeres;2000;159
21026 Cortelazor;Mujeres;1999;163
21026 Cortelazor;Mujeres;1998;162
21026 Cortelazor;Mujeres;1997;""
21026 Cortelazor;Mujeres;1996;168
21027 Cumbres de Enmedio;Total;2019;56
21027 Cumbres de Enmedio;Total;2018;""
21027 Cumbres de Enmedio;Total;2017;""
21027 Cumbres de Enmedio;Total;2016;""
21027 Cumbres de Enmedio;Total;2015;""
21027 Cumbres de Enmedio;Total;2014;""
21027 Cumbres de Enmedio;Total;2013;""
21027 Cumbres de Enmedio;Total;2012;""
21027 Cumbres de Enmedio;Total;2011;""
21027 Cumbres de Enmedio;Total;2010;""
21027 Cumbres de Enmedio;Total;2009;""
21027 Cumbres de Enmedio;Total;2008;""
21027 Cumbres de Enmedio;Total;2007;""
21027 Cumbres de Enmedio;Total;2006;""
21027 Cumbres de Enmedio;Total;2005;""
21027 Cumbres de Enmedio;Total;2004;""
21027 Cumbres de Enmedio;Total;2003;""
21027 Cumbres de Enmedio;Total;2002;""
21027 Cumbres de Enmedio;Total;2001;""
21027 Cumbres de Enmedio;Total;2000;""
21027 Cumbres de Enmedio;Total;1999;""
21027 Cumbres de Enmedio;Total;1998;""
21027 Cumbres de Enmedio;Total;1997;""
21027 Cumbres de Enmedio;Total;1996;""
21027 Cumbres de Enmedio;Hombres;2019;34
21027 Cumbres de Enmedio;Hombres;2018;34
21027 Cumbres de Enmedio;Hombres;2017;31
21027 Cumbres de Enmedio;Hombres;2016;30
21027 Cumbres de Enmedio;Hombres;2015;33
21027 Cumbres de Enmedio;Hombres;2014;29
21027 Cumbres de Enmedio;Hombres;2013;33
21027 Cumbres de Enmedio;Hombres;2012;41
21027 Cumbres de Enmedio;Hombres;2011;38
21027 Cumbres de Enmedio;Hombres;2010;31
21027 Cumbres de Enmedio;Hombres;2009;31
21027 Cumbres de Enmedio;Hombres;2008;34
21027 Cumbres de Enmedio;Hombres;2007;28
21027 Cumbres de Enmedio;Hombres;2006;26
21027 Cumbres de Enmedio;Hombres;2005;28
21027 Cumbres de Enmedio;Hombres;2004;27
21027 Cumbres de Enmedio;Hombres;2003;27
21027 Cumbres de Enmedio;Hombres;2002;30
21027 Cumbres de Enmedio;Hombres;2001;31
21027 Cumbres de Enmedio;Hombres;2000;31
21027 Cumbres de Enmedio;Hombres;1999;31
21027 Cumbres de Enmedio;Hombres;1998;32
21027 Cumbres de Enmedio;Hombres;1997;""
21027 Cumbres de Enmedio;Hombres;1996;31
21027 Cumbres de Enmedio;Mujeres;2019;22
21027 Cumbres de Enmedio;Mujeres;2018;23
21027 Cumbres de Enmedio;Mujeres;2017;21
21027 Cumbres de Enmedio;Mujeres;2016;20
21027 Cumbres de Enmedio;Mujeres;2015;21
21027 Cumbres de Enmedio;Mujeres;2014;19
21027 Cumbres de Enmedio;Mujeres;2013;19
21027 Cumbres de Enmedio;Mujeres;2012;24
21027 Cumbres de Enmedio;Mujeres;2011;27
21027 Cumbres de Enmedio;Mujeres;2010;19
21027 Cumbres de Enmedio;Mujeres;2009;21
21027 Cumbres de Enmedio;Mujeres;2008;24
21027 Cumbres de Enmedio;Mujeres;2007;22
21027 Cumbres de Enmedio;Mujeres;2006;18
21027 Cumbres de Enmedio;Mujeres;2005;19
21027 Cumbres de Enmedio;Mujeres;2004;21
21027 Cumbres de Enmedio;Mujeres;2003;23
21027 Cumbres de Enmedio;Mujeres;2002;28
21027 Cumbres de Enmedio;Mujeres;2001;30
21027 Cumbres de Enmedio;Mujeres;2000;31
21027 Cumbres de Enmedio;Mujeres;1999;32
21027 Cumbres de Enmedio;Mujeres;1998;31
21027 Cumbres de Enmedio;Mujeres;1997;""
21027 Cumbres de Enmedio;Mujeres;1996;29
21028 Cumbres de San Bartolomé;Total;2019;381
21028 Cumbres de San Bartolomé;Total;2018;""
21028 Cumbres de San Bartolomé;Total;2017;""
21028 Cumbres de San Bartolomé;Total;2016;""
21028 Cumbres de San Bartolomé;Total;2015;""
21028 Cumbres de San Bartolomé;Total;2014;""
21028 Cumbres de San Bartolomé;Total;2013;""
21028 Cumbres de San Bartolomé;Total;2012;""
21028 Cumbres de San Bartolomé;Total;2011;""
21028 Cumbres de San Bartolomé;Total;2010;""
21028 Cumbres de San Bartolomé;Total;2009;""
21028 Cumbres de San Bartolomé;Total;2008;""
21028 Cumbres de San Bartolomé;Total;2007;""
21028 Cumbres de San Bartolomé;Total;2006;""
21028 Cumbres de San Bartolomé;Total;2005;""
21028 Cumbres de San Bartolomé;Total;2004;""
21028 Cumbres de San Bartolomé;Total;2003;""
21028 Cumbres de San Bartolomé;Total;2002;""
21028 Cumbres de San Bartolomé;Total;2001;""
21028 Cumbres de San Bartolomé;Total;2000;""
21028 Cumbres de San Bartolomé;Total;1999;""
21028 Cumbres de San Bartolomé;Total;1998;""
21028 Cumbres de San Bartolomé;Total;1997;""
21028 Cumbres de San Bartolomé;Total;1996;""
21028 Cumbres de San Bartolomé;Hombres;2019;186
21028 Cumbres de San Bartolomé;Hombres;2018;186
21028 Cumbres de San Bartolomé;Hombres;2017;189
21028 Cumbres de San Bartolomé;Hombres;2016;198
21028 Cumbres de San Bartolomé;Hombres;2015;210
21028 Cumbres de San Bartolomé;Hombres;2014;212
21028 Cumbres de San Bartolomé;Hombres;2013;219
21028 Cumbres de San Bartolomé;Hombres;2012;211
21028 Cumbres de San Bartolomé;Hombres;2011;221
21028 Cumbres de San Bartolomé;Hombres;2010;225
21028 Cumbres de San Bartolomé;Hombres;2009;225
21028 Cumbres de San Bartolomé;Hombres;2008;225
21028 Cumbres de San Bartolomé;Hombres;2007;233
21028 Cumbres de San Bartolomé;Hombres;2006;238
21028 Cumbres de San Bartolomé;Hombres;2005;242
21028 Cumbres de San Bartolomé;Hombres;2004;253
21028 Cumbres de San Bartolomé;Hombres;2003;265
21028 Cumbres de San Bartolomé;Hombres;2002;275
21028 Cumbres de San Bartolomé;Hombres;2001;281
21028 Cumbres de San Bartolomé;Hombres;2000;286
21028 Cumbres de San Bartolomé;Hombres;1999;286
21028 Cumbres de San Bartolomé;Hombres;1998;287
21028 Cumbres de San Bartolomé;Hombres;1997;""
21028 Cumbres de San Bartolomé;Hombres;1996;299
21028 Cumbres de San Bartolomé;Mujeres;2019;195
21028 Cumbres de San Bartolomé;Mujeres;2018;187
21028 Cumbres de San Bartolomé;Mujeres;2017;199
21028 Cumbres de San Bartolomé;Mujeres;2016;206
21028 Cumbres de San Bartolomé;Mujeres;2015;211
21028 Cumbres de San Bartolomé;Mujeres;2014;214
21028 Cumbres de San Bartolomé;Mujeres;2013;218
21028 Cumbres de San Bartolomé;Mujeres;2012;224
21028 Cumbres de San Bartolomé;Mujeres;2011;232
21028 Cumbres de San Bartolomé;Mujeres;2010;234
21028 Cumbres de San Bartolomé;Mujeres;2009;238
21028 Cumbres de San Bartolomé;Mujeres;2008;240
21028 Cumbres de San Bartolomé;Mujeres;2007;252
21028 Cumbres de San Bartolomé;Mujeres;2006;252
21028 Cumbres de San Bartolomé;Mujeres;2005;258
21028 Cumbres de San Bartolomé;Mujeres;2004;270
21028 Cumbres de San Bartolomé;Mujeres;2003;276
21028 Cumbres de San Bartolomé;Mujeres;2002;278
21028 Cumbres de San Bartolomé;Mujeres;2001;276
21028 Cumbres de San Bartolomé;Mujeres;2000;289
21028 Cumbres de San Bartolomé;Mujeres;1999;286
21028 Cumbres de San Bartolomé;Mujeres;1998;288
21028 Cumbres de San Bartolomé;Mujeres;1997;""
21028 Cumbres de San Bartolomé;Mujeres;1996;298
21029 Cumbres Mayores;Total;2019;1.755
21029 Cumbres Mayores;Total;2018;""
21029 Cumbres Mayores;Total;2017;""
21029 Cumbres Mayores;Total;2016;""
21029 Cumbres Mayores;Total;2015;""
21029 Cumbres Mayores;Total;2014;""
21029 Cumbres Mayores;Total;2013;""
21029 Cumbres Mayores;Total;2012;""
21029 Cumbres Mayores;Total;2011;""
21029 Cumbres Mayores;Total;2010;""
21029 Cumbres Mayores;Total;2009;""
21029 Cumbres Mayores;Total;2008;""
21029 Cumbres Mayores;Total;2007;""
21029 Cumbres Mayores;Total;2006;""
21029 Cumbres Mayores;Total;2005;""
21029 Cumbres Mayores;Total;2004;""
21029 Cumbres Mayores;Total;2003;""
21029 Cumbres Mayores;Total;2002;""
21029 Cumbres Mayores;Total;2001;""
21029 Cumbres Mayores;Total;2000;""
21029 Cumbres Mayores;Total;1999;""
21029 Cumbres Mayores;Total;1998;""
21029 Cumbres Mayores;Total;1997;""
21029 Cumbres Mayores;Total;1996;""
21029 Cumbres Mayores;Hombres;2019;871
21029 Cumbres Mayores;Hombres;2018;882
21029 Cumbres Mayores;Hombres;2017;889
21029 Cumbres Mayores;Hombres;2016;910
21029 Cumbres Mayores;Hombres;2015;924
21029 Cumbres Mayores;Hombres;2014;938
21029 Cumbres Mayores;Hombres;2013;947
21029 Cumbres Mayores;Hombres;2012;955
21029 Cumbres Mayores;Hombres;2011;970
21029 Cumbres Mayores;Hombres;2010;980
21029 Cumbres Mayores;Hombres;2009;986
21029 Cumbres Mayores;Hombres;2008;992
21029 Cumbres Mayores;Hombres;2007;983
21029 Cumbres Mayores;Hombres;2006;1.008
21029 Cumbres Mayores;Hombres;2005;1.005
21029 Cumbres Mayores;Hombres;2004;990
21029 Cumbres Mayores;Hombres;2003;993
21029 Cumbres Mayores;Hombres;2002;991
21029 Cumbres Mayores;Hombres;2001;1.018
21029 Cumbres Mayores;Hombres;2000;1.039
21029 Cumbres Mayores;Hombres;1999;1.048
21029 Cumbres Mayores;Hombres;1998;1.058
21029 Cumbres Mayores;Hombres;1997;""
21029 Cumbres Mayores;Hombres;1996;1.078
21029 Cumbres Mayores;Mujeres;2019;884
21029 Cumbres Mayores;Mujeres;2018;903
21029 Cumbres Mayores;Mujeres;2017;906
21029 Cumbres Mayores;Mujeres;2016;917
21029 Cumbres Mayores;Mujeres;2015;924
21029 Cumbres Mayores;Mujeres;2014;934
21029 Cumbres Mayores;Mujeres;2013;941
21029 Cumbres Mayores;Mujeres;2012;943
21029 Cumbres Mayores;Mujeres;2011;960
21029 Cumbres Mayores;Mujeres;2010;974
21029 Cumbres Mayores;Mujeres;2009;984
21029 Cumbres Mayores;Mujeres;2008;1.001
21029 Cumbres Mayores;Mujeres;2007;1.003
21029 Cumbres Mayores;Mujeres;2006;1.016
21029 Cumbres Mayores;Mujeres;2005;1.017
21029 Cumbres Mayores;Mujeres;2004;1.011
21029 Cumbres Mayores;Mujeres;2003;1.025
21029 Cumbres Mayores;Mujeres;2002;1.029
21029 Cumbres Mayores;Mujeres;2001;1.067
21029 Cumbres Mayores;Mujeres;2000;1.080
21029 Cumbres Mayores;Mujeres;1999;1.087
21029 Cumbres Mayores;Mujeres;1998;1.103
21029 Cumbres Mayores;Mujeres;1997;""
21029 Cumbres Mayores;Mujeres;1996;1.106
21031 Encinasola;Total;2019;1.305
21031 Encinasola;Total;2018;""
21031 Encinasola;Total;2017;""
21031 Encinasola;Total;2016;""
21031 Encinasola;Total;2015;""
21031 Encinasola;Total;2014;""
21031 Encinasola;Total;2013;""
21031 Encinasola;Total;2012;""
21031 Encinasola;Total;2011;""
21031 Encinasola;Total;2010;""
21031 Encinasola;Total;2009;""
21031 Encinasola;Total;2008;""
21031 Encinasola;Total;2007;""
21031 Encinasola;Total;2006;""
21031 Encinasola;Total;2005;""
21031 Encinasola;Total;2004;""
21031 Encinasola;Total;2003;""
21031 Encinasola;Total;2002;""
21031 Encinasola;Total;2001;""
21031 Encinasola;Total;2000;""
21031 Encinasola;Total;1999;""
21031 Encinasola;Total;1998;""
21031 Encinasola;Total;1997;""
21031 Encinasola;Total;1996;""
21031 Encinasola;Hombres;2019;655
21031 Encinasola;Hombres;2018;669
21031 Encinasola;Hombres;2017;673
21031 Encinasola;Hombres;2016;697
21031 Encinasola;Hombres;2015;684
21031 Encinasola;Hombres;2014;677
21031 Encinasola;Hombres;2013;692
21031 Encinasola;Hombres;2012;762
21031 Encinasola;Hombres;2011;794
21031 Encinasola;Hombres;2010;810
21031 Encinasola;Hombres;2009;816
21031 Encinasola;Hombres;2008;807
21031 Encinasola;Hombres;2007;812
21031 Encinasola;Hombres;2006;816
21031 Encinasola;Hombres;2005;833
21031 Encinasola;Hombres;2004;822
21031 Encinasola;Hombres;2003;849
21031 Encinasola;Hombres;2002;866
21031 Encinasola;Hombres;2001;866
21031 Encinasola;Hombres;2000;876
21031 Encinasola;Hombres;1999;913
21031 Encinasola;Hombres;1998;916
21031 Encinasola;Hombres;1997;""
21031 Encinasola;Hombres;1996;958
21031 Encinasola;Mujeres;2019;650
21031 Encinasola;Mujeres;2018;663
21031 Encinasola;Mujeres;2017;661
21031 Encinasola;Mujeres;2016;668
21031 Encinasola;Mujeres;2015;642
21031 Encinasola;Mujeres;2014;627
21031 Encinasola;Mujeres;2013;661
21031 Encinasola;Mujeres;2012;719
21031 Encinasola;Mujeres;2011;746
21031 Encinasola;Mujeres;2010;772
21031 Encinasola;Mujeres;2009;780
21031 Encinasola;Mujeres;2008;777
21031 Encinasola;Mujeres;2007;802
21031 Encinasola;Mujeres;2006;818
21031 Encinasola;Mujeres;2005;853
21031 Encinasola;Mujeres;2004;851
21031 Encinasola;Mujeres;2003;861
21031 Encinasola;Mujeres;2002;895
21031 Encinasola;Mujeres;2001;906
21031 Encinasola;Mujeres;2000;913
21031 Encinasola;Mujeres;1999;932
21031 Encinasola;Mujeres;1998;949
21031 Encinasola;Mujeres;1997;""
