Municipios;Sexo;Periodo;Total
21002 Aljaraque;Total;2008;""
21002 Aljaraque;Total;2007;""
21002 Aljaraque;Total;2006;""
21002 Aljaraque;Total;2005;""
21002 Aljaraque;Total;2004;""
21002 Aljaraque;Total;2003;""
21002 Aljaraque;Total;2002;""
21002 Aljaraque;Total;2001;""
21002 Aljaraque;Total;2000;""
21002 Aljaraque;Total;1999;""
21002 Aljaraque;Total;1998;""
21002 Aljaraque;Total;1997;""
21002 Aljaraque;Total;1996;""
21002 Aljaraque;Hombres;2019;10.594
21002 Aljaraque;Hombres;2018;10.466
21002 Aljaraque;Hombres;2017;10.354
21002 Aljaraque;Hombres;2016;10.307
21002 Aljaraque;Hombres;2015;10.150
21002 Aljaraque;Hombres;2014;9.906
21002 Aljaraque;Hombres;2013;9.721
21002 Aljaraque;Hombres;2012;9.622
21002 Aljaraque;Hombres;2011;9.480
21002 Aljaraque;Hombres;2010;9.220
21002 Aljaraque;Hombres;2009;8.981
21002 Aljaraque;Hombres;2008;8.590
21002 Aljaraque;Hombres;2007;8.196
21002 Aljaraque;Hombres;2006;7.855
21002 Aljaraque;Hombres;2005;7.458
21002 Aljaraque;Hombres;2004;7.073
21002 Aljaraque;Hombres;2003;6.529
21002 Aljaraque;Hombres;2002;6.201
21002 Aljaraque;Hombres;2001;5.859
21002 Aljaraque;Hombres;2000;5.414
21002 Aljaraque;Hombres;1999;5.152
21002 Aljaraque;Hombres;1998;4.882
21002 Aljaraque;Hombres;1997;""
21002 Aljaraque;Hombres;1996;4.808
21002 Aljaraque;Mujeres;2019;10.666
21002 Aljaraque;Mujeres;2018;10.588
21002 Aljaraque;Mujeres;2017;10.482
21002 Aljaraque;Mujeres;2016;10.438
21002 Aljaraque;Mujeres;2015;10.207
21002 Aljaraque;Mujeres;2014;9.951
21002 Aljaraque;Mujeres;2013;9.771
21002 Aljaraque;Mujeres;2012;9.623
21002 Aljaraque;Mujeres;2011;9.457
21002 Aljaraque;Mujeres;2010;9.223
21002 Aljaraque;Mujeres;2009;8.979
21002 Aljaraque;Mujeres;2008;8.604
21002 Aljaraque;Mujeres;2007;8.172
21002 Aljaraque;Mujeres;2006;7.762
21002 Aljaraque;Mujeres;2005;7.388
21002 Aljaraque;Mujeres;2004;6.987
21002 Aljaraque;Mujeres;2003;6.480
21002 Aljaraque;Mujeres;2002;6.102
21002 Aljaraque;Mujeres;2001;5.767
21002 Aljaraque;Mujeres;2000;5.392
21002 Aljaraque;Mujeres;1999;5.146
21002 Aljaraque;Mujeres;1998;4.861
21002 Aljaraque;Mujeres;1997;""
21002 Aljaraque;Mujeres;1996;4.779
21003 Almendro, El;Total;2019;826
21003 Almendro, El;Total;2018;""
21003 Almendro, El;Total;2017;""
21003 Almendro, El;Total;2016;""
21003 Almendro, El;Total;2015;""
21003 Almendro, El;Total;2014;""
21003 Almendro, El;Total;2013;""
21003 Almendro, El;Total;2012;""
21003 Almendro, El;Total;2011;""
21003 Almendro, El;Total;2010;""
21003 Almendro, El;Total;2009;""
21003 Almendro, El;Total;2008;""
21003 Almendro, El;Total;2007;""
21003 Almendro, El;Total;2006;""
21003 Almendro, El;Total;2005;""
21003 Almendro, El;Total;2004;""
21003 Almendro, El;Total;2003;""
21003 Almendro, El;Total;2002;""
21003 Almendro, El;Total;2001;""
21003 Almendro, El;Total;2000;""
21003 Almendro, El;Total;1999;""
21003 Almendro, El;Total;1998;""
21003 Almendro, El;Total;1997;""
21003 Almendro, El;Total;1996;""
21003 Almendro, El;Hombres;2019;438
21003 Almendro, El;Hombres;2018;439
21003 Almendro, El;Hombres;2017;441
21003 Almendro, El;Hombres;2016;440
