Unidades territoriales;Indicadores de renta media;Periodo;Total
1800301008 Albolote sección 01008;Renta media por persona ;2015;7.947
1800301008 Albolote sección 01008;Renta media por hogar;2017;25.409
1800301008 Albolote sección 01008;Renta media por hogar;2016;23.748
1800301008 Albolote sección 01008;Renta media por hogar;2015;23.398
1800301009 Albolote sección 01009;Renta media por persona ;2017;8.741
1800301009 Albolote sección 01009;Renta media por persona ;2016;8.280
1800301009 Albolote sección 01009;Renta media por persona ;2015;8.044
1800301009 Albolote sección 01009;Renta media por hogar;2017;27.200
1800301009 Albolote sección 01009;Renta media por hogar;2016;25.532
1800301009 Albolote sección 01009;Renta media por hogar;2015;24.874
1800301010 Albolote sección 01010;Renta media por persona ;2017;10.669
1800301010 Albolote sección 01010;Renta media por persona ;2016;10.200
1800301010 Albolote sección 01010;Renta media por persona ;2015;9.719
1800301010 Albolote sección 01010;Renta media por hogar;2017;31.440
1800301010 Albolote sección 01010;Renta media por hogar;2016;30.442
1800301010 Albolote sección 01010;Renta media por hogar;2015;29.052
18004 Albondón;Renta media por persona ;2017;8.183
18004 Albondón;Renta media por persona ;2016;7.457
18004 Albondón;Renta media por persona ;2015;7.558
18004 Albondón;Renta media por hogar;2017;17.207
18004 Albondón;Renta media por hogar;2016;16.487
18004 Albondón;Renta media por hogar;2015;16.849
1800401 Albondón distrito 01;Renta media por persona ;2017;8.183
1800401 Albondón distrito 01;Renta media por persona ;2016;7.457
1800401 Albondón distrito 01;Renta media por persona ;2015;7.558
1800401 Albondón distrito 01;Renta media por hogar;2017;17.207
1800401 Albondón distrito 01;Renta media por hogar;2016;16.487
1800401 Albondón distrito 01;Renta media por hogar;2015;16.849
1800401001 Albondón sección 01001;Renta media por persona ;2017;8.183
1800401001 Albondón sección 01001;Renta media por persona ;2016;7.457
1800401001 Albondón sección 01001;Renta media por persona ;2015;7.558
1800401001 Albondón sección 01001;Renta media por hogar;2017;17.207
1800401001 Albondón sección 01001;Renta media por hogar;2016;16.487
1800401001 Albondón sección 01001;Renta media por hogar;2015;16.849
18005 Albuñán;Renta media por persona ;2017;9.790
18005 Albuñán;Renta media por persona ;2016;9.861
18005 Albuñán;Renta media por persona ;2015;9.702
18005 Albuñán;Renta media por hogar;2017;19.343
18005 Albuñán;Renta media por hogar;2016;20.062
18005 Albuñán;Renta media por hogar;2015;20.237
1800501 Albuñán distrito 01;Renta media por persona ;2017;9.790
1800501 Albuñán distrito 01;Renta media por persona ;2016;9.861
1800501 Albuñán distrito 01;Renta media por persona ;2015;9.702
1800501 Albuñán distrito 01;Renta media por hogar;2017;19.343
1800501 Albuñán distrito 01;Renta media por hogar;2016;20.062
1800501 Albuñán distrito 01;Renta media por hogar;2015;20.237
1800501001 Albuñán sección 01001;Renta media por persona ;2017;9.790
1800501001 Albuñán sección 01001;Renta media por persona ;2016;9.861
1800501001 Albuñán sección 01001;Renta media por persona ;2015;9.702
1800501001 Albuñán sección 01001;Renta media por hogar;2017;19.343
1800501001 Albuñán sección 01001;Renta media por hogar;2016;20.062
1800501001 Albuñán sección 01001;Renta media por hogar;2015;20.237
18006 Albuñol;Renta media por persona ;2017;5.988
18006 Albuñol;Renta media por persona ;2016;5.772
18006 Albuñol;Renta media por persona ;2015;5.789
18006 Albuñol;Renta media por hogar;2017;17.647
18006 Albuñol;Renta media por hogar;2016;16.892
18006 Albuñol;Renta media por hogar;2015;16.758
1800601 Albuñol distrito 01;Renta media por persona ;2017;6.157
1800601 Albuñol distrito 01;Renta media por persona ;2016;6.004
1800601 Albuñol distrito 01;Renta media por persona ;2015;5.990
1800601 Albuñol distrito 01;Renta media por hogar;2017;17.483
