Unidades territoriales;Indicadores de renta media;Periodo;Total
0400302001 Adra sección 02001;Renta media por persona ;2017;7.363
0400302001 Adra sección 02001;Renta media por persona ;2016;6.866
0400302001 Adra sección 02001;Renta media por persona ;2015;6.616
0400302001 Adra sección 02001;Renta media por hogar;2017;20.503
0400302001 Adra sección 02001;Renta media por hogar;2016;19.870
0400302001 Adra sección 02001;Renta media por hogar;2015;19.062
0400302002 Adra sección 02002;Renta media por persona ;2017;6.645
0400302002 Adra sección 02002;Renta media por persona ;2016;6.483
0400302002 Adra sección 02002;Renta media por persona ;2015;6.184
0400302002 Adra sección 02002;Renta media por hogar;2017;19.383
0400302002 Adra sección 02002;Renta media por hogar;2016;18.727
0400302002 Adra sección 02002;Renta media por hogar;2015;18.212
0400302003 Adra sección 02003;Renta media por persona ;2017;5.952
0400302003 Adra sección 02003;Renta media por persona ;2016;5.629
0400302003 Adra sección 02003;Renta media por persona ;2015;5.507
0400302003 Adra sección 02003;Renta media por hogar;2017;16.829
0400302003 Adra sección 02003;Renta media por hogar;2016;16.216
0400302003 Adra sección 02003;Renta media por hogar;2015;15.914
0400303 Adra distrito 03;Renta media por persona ;2017;6.856
0400303 Adra distrito 03;Renta media por persona ;2016;6.498
0400303 Adra distrito 03;Renta media por persona ;2015;6.198
0400303 Adra distrito 03;Renta media por hogar;2017;19.602
0400303 Adra distrito 03;Renta media por hogar;2016;18.902
0400303 Adra distrito 03;Renta media por hogar;2015;18.110
0400303001 Adra sección 03001;Renta media por persona ;2017;7.072
0400303001 Adra sección 03001;Renta media por persona ;2016;6.736
0400303001 Adra sección 03001;Renta media por persona ;2015;6.477
0400303001 Adra sección 03001;Renta media por hogar;2017;19.137
0400303001 Adra sección 03001;Renta media por hogar;2016;18.454
0400303001 Adra sección 03001;Renta media por hogar;2015;17.537
0400303002 Adra sección 03002;Renta media por persona ;2017;5.929
0400303002 Adra sección 03002;Renta media por persona ;2016;5.460
0400303002 Adra sección 03002;Renta media por persona ;2015;5.157
0400303002 Adra sección 03002;Renta media por hogar;2017;18.372
0400303002 Adra sección 03002;Renta media por hogar;2016;17.291
0400303002 Adra sección 03002;Renta media por hogar;2015;16.132
0400303003 Adra sección 03003;Renta media por persona ;2017;7.234
0400303003 Adra sección 03003;Renta media por persona ;2016;6.940
0400303003 Adra sección 03003;Renta media por persona ;2015;6.625
0400303003 Adra sección 03003;Renta media por hogar;2017;20.418
0400303003 Adra sección 03003;Renta media por hogar;2016;19.906
0400303003 Adra sección 03003;Renta media por hogar;2015;19.404
0400304 Adra distrito 04;Renta media por persona ;2017;7.891
0400304 Adra distrito 04;Renta media por persona ;2016;7.301
0400304 Adra distrito 04;Renta media por persona ;2015;7.025
0400304 Adra distrito 04;Renta media por hogar;2017;19.623
0400304 Adra distrito 04;Renta media por hogar;2016;18.110
0400304 Adra distrito 04;Renta media por hogar;2015;17.203
0400304001 Adra sección 04001;Renta media por persona ;2017;7.891
0400304001 Adra sección 04001;Renta media por persona ;2016;7.301
0400304001 Adra sección 04001;Renta media por persona ;2015;7.025
0400304001 Adra sección 04001;Renta media por hogar;2017;19.623
0400304001 Adra sección 04001;Renta media por hogar;2016;18.110
